symbol,yahoo
0x0,0x0-USD
1INCH,1INCH-USD
A8,A8-USD
AA,AA-USD
AAVE,AAVE-USD
ABT,ABT-USD
ACA,ACA-USD
ACE,ACE28674-USD
ACH,ACH-USD
ACS,ACS23195-USD
ACX,ACX22620-USD
ADA,ADA-USD
ADX,ADX-USD
AERGO,AERGO-USD
AGI,AGI-USD
AGLD,AGLD-USD
AHT,AHT-USD
AIDOGE,AIDOGE-USD
AIOZ,AIOZ-USD
AITECH,AITECH-USD
AKRO,AKRO-USD
AKT,AKT-USD
AL,AL-USD
ALCX,ALCX-USD
ALEPH,ALEPH-USD
ALEX,ALEX-USD
ALGO,ALGO-USD
ALI,ALI16876-USD
ALICE,ALICE-USD
ALPACA,ALPACA-USD
ALPH,ALPH-USD
ALPHA,ALPHA-USD
ALU,ALU-USD
AMP,AMP-USD
AMPL,AMPL-USD
AOG,AOG-USD
APE,APE18876-USD
APEX,APEX19843-USD
API3,API3-USD
APT,APT21794-USD
AQT,AQT-USD
AR,AR-USD
ARB,ARB11841-USD
ARDR,ARDR-USD
ARG,ARG-USD
ARK,ARK-USD
ARPA,ARPA-USD
ASD,ASD-USD
ASM,ASM-USD
ASTR,ASTR-USD
ATA,ATA-USD
ATLAS,ATLAS-USD
ATOM,ATOM-USD
ATOR,ATOR-USD
ATR,ATR-USD
AUCTION,AUCTION-USD
AUDIO,AUDIO-USD
AURORA,AURORA14803-USD
AVA,AVA-USD
AVAX,AVAX-USD
AXL,AXL17799-USD
AXS,AXS-USD
AZERO,AZERO-USD
BabyDoge,BABYDOGE-USD
BADGER,BADGER-USD
BAKE,BAKE-USD
BAL,BAL-USD
BANANA,BANANA28066-USD
BAND,BAND-USD
BAT,BAT-USD
BCH,BCH-USD
BDX,BDX-USD
BEAM,BEAM28298-USD
BEL,BEL-USD
BETA,BETA-USD
BFC,BFC7817-USD
BFIC,BFIC-USD
BGB,BGB-USD
BICO,BICO-USD
BIFI,BIFI7311-USD
BIGTIME,BIGTIME-USD
BITCOIN,BITCOIN25220-USD
BLUR,BLUR-USD
BLZ,BLZ-USD
BMX,BMX-USD
BNB,BNB-USD
BNT,BNT-USD
BNX,BNX23635-USD
BOB,BOB24594-USD
BOBA,BOBA-USD
BOBO,BOBO25269-USD
BONE,BONE11865-USD
BORA,BORA-USD
BORG,BORG-USD
BOSON,BOSON-USD
BOTTO,BOTTO-USD
BRISE,BRISE-USD
BSV,BSV-USD
BSW,BSW-USD
BTC,BTC-USD
BTG,BTG-USD
BURGER,BURGER-USD
BZZ,BZZ-USD
C98,C98-USD
CAKE,CAKE-USD
CBK,CBK-USD
CCD,CCD-USD
CEEK,CEEK-USD
CEL,CEL-USD
CELO,CELO-USD
CELR,CELR-USD
CERE,CERE-USD
CETUS,CETUS-USD
CFG,CFG-USD
CFX,CFX-USD
CGPT,CGPT-USD
CHEEL,CHEEL-USD
CHR,CHR-USD
CHZ,CHZ-USD
CITY,CITY10049-USD
CKB,CKB-USD
CLORE,CLORE-USD
CLV,CLV-USD
COMBO,COMBO-USD
COMP,COMP5692-USD
CORE,CORE23254-USD
COREUM,COREUM-USD
COS,COS-USD
COTI,COTI-USD
CPOOL,CPOOL-USD
CQT,CQT-USD
CREAM,CREAM-USD
CRO,CRO-USD
CROWN,CROWN25714-USD
CRTS,CRTS-USD
CRV,CRV-USD
CSPR,CSPR-USD
CTC,CTC-USD
CTK,CTK4807-USD
CTSI,CTSI-USD
CTX,CTX-USD
CTXC,CTXC-USD
CUDOS,CUDOS-USD
CVC,CVC-USD
CVX,CVX-USD
DAG,DAG-USD
DAO,DAO-USD
DAR,DAR-USD
DASH,DASH-USD
DATA,DATA-USD
DCB,DCB-USD
DCR,DCR-USD
DEGO,DEGO-USD
DENT,DENT-USD
DEP,DEP-USD
DESO,DESO-USD
DEXE,DEXE-USD
DFI,DFI-USD
DGB,DGB-USD
DIA,DIA-USD
DIMO,DIMO-USD
DIONE,DIONE-USD
DKA,DKA-USD
DMTR,DMTR-USD
DNT,DNT-USD
DNX,DNX-USD
DODO,DODO-USD
DOGE,DOGE-USD
DORA,DORA27966-USD
DOT,DOT-USD
DUSK,DUSK-USD
DYDX,DYDX-USD
EDU,EDU24613-USD
EGLD,EGLD-USD
EL,EL-USD
ELA,ELA-USD
ELF,ELF-USD
ENJ,ENJ-USD
ENS,ENS-USD
EOS,EOS-USD
ERG,ERG-USD
ERN,ERN-USD
ETC,ETC-USD
ETH,ETH-USD
ETHW,ETHW-USD
ETN,ETN-USD
EUL,EUL-USD
EVER,EVER-USD
EWT,EWT-USD
FAR,FAR22331-USD
FARM,FARM-USD
FCT,FCT4953-USD
FET,FET-USD
FIDA,FIDA-USD
FIL,FIL-USD
FIO,FIO-USD
FIRO,FIRO-USD
FLM,FLM-USD
FLOW,FLOW-USD
FLR,FLR-USD
FLUX,FLUX-USD
FLZ,FLZ-USD
FORT,FORT20622-USD
FORTH,FORTH-USD
FRONT,FRONT-USD
FTM,FTM-USD
FTN,FTN-USD
FTT,FTT-USD
FUN,FUN-USD
FXS,FXS-USD
GAL,GAL11877-USD
GALA,GALA-USD
GAS,GAS-USD
GEAR,GEAR16360-USD
GFAL,GFAL-USD
GFI,GFI13967-USD
GFT,GFT-USD
GHST,GHST-USD
GHX,GHX-USD
GLM,GLM-USD
GLMR,GLMR-USD
GLQ,GLQ-USD
GMEE,GMEE-USD
GMT,GMT18069-USD
GMX,GMX11857-USD
GNO,GNO-USD
GNS,GNS-USD
GODS,GODS-USD
GOG,GOG-USD
Gomining,GOMINING-USD
GRS,GRS-USD
GRT,GRT6719-USD
GST,GST16352-USD
GT,GT-USD
GTC,GTC10052-USD
H2O,H2O19091-USD
HBAR,HBAR-USD
HFT,HFT22461-USD
HGPT,HGPT-USD
HIFI,HIFI23037-USD
HIGH,HIGH-USD
HIVE,HIVE-USD
HNT,HNT-USD
HONEY,HONEY22850-USD
HOOK,HOOK-USD
HOT,HOT2682-USD
HPO,HPO-USD
HT,HT-USD
HUNT,HUNT-USD
ICP,ICP-USD
ICX,ICX-USD
ID,ID21846-USD
IDEX,IDEX-USD
ILV,ILV-USD
IMX,IMX10603-USD
INF,INF-USD
INJ,INJ-USD
IOST,IOST-USD
IOTA,IOTA-USD
IOTX,IOTX-USD
IQ,IQ-USD
IRIS,IRIS-USD
ISIKC,ISIKC-USD
JASMY,JASMY-USD
JOE,JOE-USD
JST,JST-USD
KAS,KAS-USD
KAVA,KAVA-USD
KCS,KCS-USD
KDA,KDA-USD
KEY,KEY-USD
KLAY,KLAY-USD
KLIMA,KLIMA-USD
KLV,KLV-USD
KMD,KMD-USD
KNC,KNC-USD
KP3R,KP3R-USD
KSM,KSM-USD
KUJI,KUJI-USD
LAT,LAT-USD
LCX,LCX-USD
LEASH,LEASH-USD
LEO,LEO-USD
LEVER,LEVER-USD
LIME,LIME-USD
LINA,LINA7102-USD
LINK,LINK-USD
LISTA,LISTA-USD
LIT,LIT6833-USD
LMWR,LMWR-USD
LOCUS,LOCUS-USD
LOKA,LOKA-USD
LON,LON-USD
LOOKS,LOOKS-USD
LOOM,LOOM-USD
LPT,LPT-USD
LQTY,LQTY-USD
LRC,LRC-USD
LSK,LSK-USD
LTC,LTC-USD
LTO,LTO-USD
LUNA,LUNA20314-USD
LUNC,LUNC-USD
MAGIC,MAGIC14783-USD
MAPO,MAPO-USD
MASK,MASK8536-USD
MATH,MATH-USD
MATIC,MATIC-USD
MAV,MAV-USD
MBL,MBL-USD
MBOX,MBOX-USD
MBX,MBX18895-USD
MCOIN,MCOIN23046-USD
MDT,MDT-USD
MDX,MDX8335-USD
MED,MED-USD
META,META-USD
METIS,METIS-USD
MINA,MINA-USD
MKR,MKR-USD
MLK,MLK-USD
MLN,MLN-USD
MOBILE,MOBILE-USD
MOVR,MOVR-USD
MPL,MPL-USD
MPLX,MPLX-USD
MTL,MTL-USD
MVL,MVL-USD
MX,MX-USD
MXC,MXC-USD
MYRIA,MYRIA22289-USD
NAKA,NAKA-USD
NCT,NCT-USD
NEAR,NEAR-USD
NEO,NEO-USD
NEXO,NEXO-USD
NKN,NKN-USD
NMR,NMR-USD
NOIA,NOIA-USD
NOS,NOS-USD
NPT,NPT-USD
NTRN,NTRN26680-USD
NULS,NULS-USD
NUM,NUM-USD
NYM,NYM-USD
OAS,OAS-USD
OCTA,OCTA24261-USD
OGN,OGN-USD
OKB,OKB-USD
OM,OM-USD
OMG,OMG-USD
ONE,ONE3945-USD
ONG,ONG3217-USD
ONT,ONT-USD
OP,OP-USD
OPUL,OPUL-USD
ORAI,ORAI-USD
ORBS,ORBS-USD
ORCA,ORCA-USD
ORDI,ORDI-USD
ORN,ORN-USD
OSMO,OSMO-USD
OXT,OXT-USD
PAAL,PAAL-USD
PAXG,PAXG-USD
PCI,PCI-USD
PDA,PDA-USD
PENDLE,PENDLE-USD
PEOPLE,PEOPLE-USD
PEPE,PEPE24478-USD
PEPECOIN,PEPECOIN-USD
PERP,PERP-USD
PHA,PHA-USD
PHB,PHB-USD
PIVX,PIVX-USD
PMG,PMG24050-USD
PNG,PNG-USD
POKT,POKT-USD
POLS,POLS-USD
POLYX,POLYX-USD
POND,POND-USD
POWR,POWR-USD
PRIME,PRIME23711-USD
PRO,PRO-USD
PROM,PROM-USD
PROPC,PROPC-USD
PRQ,PRQ-USD
PSG,PSG-USD
PUNDIX,PUNDIX-USD
PYR,PYR-USD
QKC,QKC-USD
QNT,QNT-USD
QTUM,QTUM-USD
QUICK,QUICK19966-USD
RACA,RACA-USD
RAD,RAD-USD
RARE,RARE11294-USD
RARI,RARI-USD
RAY,RAY-USD
RBN,RBN-USD
RBTC,RBTC-USD
RDNT,RDNT-USD
REEF,REEF-USD
REI,REI19819-USD
REN,REN-USD
REQ,REQ-USD
RIF,RIF-USD
RLB,RLB-USD
RLC,RLC-USD
RLY,RLY-USD
RNDR,RNDR-USD
ROG,ROG-USD
RON,RON14101-USD
ROSE,ROSE-USD
ROUTE,ROUTE-USD
RSR,RSR-USD
RSS3,RSS3-USD
RUNE,RUNE-USD
SAFE,SAFE21585-USD
SAMO,SAMO-USD
SAND,SAND-USD
SAUCE,SAUCE-USD
SC,SC-USD
SCRT,SCRT-USD
SDAO,SDAO-USD
SDEX,SDEX-USD
SFP,SFP-USD
SFP,SFP-USD
SFUND,SFUND-USD
SHDW,SHDW16868-USD
SHIB,SHIB-USD
SHIDO,SHIDO28211-USD
SIDUS,SIDUS-USD
SKL,SKL-USD
SLP,SLP-USD
SNEK,SNEK25264-USD
SNT,SNT-USD
SNX,SNX-USD
SOL,SOL-USD
SOLO,SOLO-USD
SPELL,SPELL-USD
SRX,SRX-USD
SSV,SSV-USD
STC,STC20513-USD
STEEM,STEEM-USD
STG,STG18934-USD
STIK,STIK-USD
STMX,STMX-USD
STORJ,STORJ-USD
STPT,STPT-USD
STRAX,STRAX-USD
STRK,STRK22691-USD
STT,STT26914-USD
STX,STX4847-USD
SUI,SUI20947-USD
SUN,SUN-USD
SUPER,SUPER8290-USD
SURE,SURE-USD
SUSHI,SUSHI-USD
SWEAT,SWEAT-USD
SWFTC,SWFTC-USD
SXP,SXP-USD
SYN,SYN12147-USD
SYS,SYS-USD
T,T-USD
TAO,TAO22974-USD
TAVA,TAVA-USD
TBTC,TBTC26133-USD
TEL,TEL-USD
TET,TET-USD
TFUEL,TFUEL-USD
THETA,THETA-USD
TKO,TKO-USD
TLM,TLM-USD
TLOS,TLOS-USD
TOMI,TOMI23246-USD
TON,TON11419-USD
TRAC,TRAC-USD
TRADE,TRADE10465-USD
TRB,TRB-USD
TRIAS,TRIAS-USD
TRU,TRU7725-USD
TRX,TRX-USD
TT,TT-USD
TURBO,TURBO-USD
TWT,TWT-USD
UFT,UFT-USD
UMA,UMA-USD
UNFI,UNFI-USD
UNI,UNI7083-USD
UOS,UOS-USD
UPP,UPP-USD
UQC,UQC-USD
UTK,UTK-USD
VAI,VAI8479-USD
VANRY,VANRY-USD
VELO,VELO-USD
VENOM,VENOM-USD
VET,VET-USD
vETH,VETH-USD
VIC,VIC-USD
VIDT,VIDT22710-USD
VLX,VLX-USD
VOXEL,VOXEL-USD
VR,VR-USD
VRA,VRA-USD
VRTX,VRTX-USD
VTHO,VTHO-USD
WAN,WAN-USD
WAVAX,WAVAX-USD
WAVES,WAVES-USD
WAXP,WAXP-USD
WEMIX,WEMIX-USD
WILD,WILD-USD
WIN,WIN-USD
WING,WING7048-USD
WLD,WLD-USD
WMT,WMT-USD
WOO,WOO-USD
WRX,WRX-USD
WXT,WXT-USD
XAUt,XAUT-USD
XCAD,XCAD-USD
XCH,XCH-USD
XCHNG,XCHNG-USD
XCN,XCN18679-USD
XDC,XDC-USD
XEC,XEC-USD
XEM,XEM-USD
XLM,XLM-USD
XMR,XMR-USD
XNO,XNO-USD
XPR,XPR-USD
XPR,XPR-USD
XRD,XRD-USD
XRD,XRD-USD
XRP,XRP-USD
XTZ,XTZ-USD
XVG,XVG-USD
XVS,XVS-USD
XYO,XYO-USD
YFI,YFI-USD
YGG,YGG-USD
ZCX,ZCX-USD
ZEC,ZEC-USD
ZEN,ZEN-USD
ZENT,ZENT-USD
ZETA,ZETA-USD
ZIG,ZIG-USD
ZIL,ZIL-USD
ZRX,ZRX-USD
